City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
219,Jiwani,PK,79.05,clear sky,25.05,61.7417,Al Mumtaz Transport Jiwani
220,Aguascalientes,MX,80.55,few clouds,21.8833,-102.3,Hotel Francia Aguascalientes
225,Samarai,PG,80.8,overcast clouds,-10.6167,150.6667,Nuli Sapi
226,Punta Alta,AR,76.93,clear sky,-38.8759,-62.0736,Center Hotel Punta Alta
229,Sumbe,AO,76.01,overcast clouds,-11.2061,13.8437,Hotel Ritz Sumbe
230,Presidencia Roque Saenz Pena,AR,86.81,clear sky,-26.7852,-60.4388,Hotel Aconcagua
232,Awbari,LY,76.24,overcast clouds,26.5921,12.7805,فندق أوباري
234,Manggar,ID,78.76,overcast clouds,-2.8833,108.2667,Guest Hotel
236,Mandera,KE,82.06,overcast clouds,3.9366,41.867,Kornesh Hotel and Lodging
242,Sao Filipe,CV,82.2,clear sky,14.8961,-24.4956,Hotel Xaguate
243,Apex,US,80.78,smoke,35.7327,-78.8503,Homewood Suites by Hilton Raleigh/Cary
244,Mayo,US,78.75,clear sky,38.8876,-76.5119,Resorts Resource Group International
245,Karratha,AU,71.29,clear sky,-20.7377,116.8463,ibis Styles Karratha
246,Huarmey,PE,70.07,broken clouds,-10.0681,-78.1522,Hotel Miramar
247,Kutum,SD,79.21,broken clouds,14.2,24.6667,Dibbo areaمنطقة دبو
249,Trairi,BR,82.56,overcast clouds,-3.2778,-39.2689,janelas do mar
252,Broome,US,72.18,clear sky,42.2506,-75.833,Chenango Valley State Park
253,Daru,PG,77.47,overcast clouds,-9.0763,143.2092,Daru Lodge
258,Buraydah,SA,79.25,clear sky,26.326,43.975,فندق راحة السلام
260,Camandag,PH,75.06,overcast clouds,10.3333,123.0667,Garden of Luisa
261,Meulaboh,ID,75.38,overcast clouds,4.1363,96.1285,Kost Pria
264,Hobyo,SO,78.26,broken clouds,5.3505,48.5268,Halane Hotel and Restaurent
267,Lukulu,ZM,73.2,overcast clouds,-14.3707,23.242,Ruth Guest House
268,Acapulco,MX,87.62,scattered clouds,16.8634,-99.8901,HS Hotsson Smart Acapulco
270,Cockburn Town,TC,82.44,overcast clouds,21.4612,-71.1419,Osprey Beach Hotel
273,Riyadh,SA,80.74,clear sky,24.6877,46.7219,"InterContinental Riyadh, an IHG Hotel"
275,Honiara,SB,79.52,broken clouds,-9.4333,159.95,Heritage Park Hotel
276,Belmonte,BR,81.1,broken clouds,-15.8631,-38.8828,Pousada Monte Carmelo O Pão
282,Nieuw Nickerie,SR,83.1,scattered clouds,5.95,-56.9833,Ishwardat Inn
286,Cayenne,GF,86.04,few clouds,4.9333,-52.3333,Hôtel Le Dronmi
287,Sakakah,SA,71.17,clear sky,29.9697,40.2064,Fakhamat Al Orjoana Apartment
289,Johnstown,US,72.7,clear sky,40.3267,-78.922,"Holiday Inn Johnstown-Downtown, an IHG Hotel"
290,Holland,US,72.3,few clouds,42.7875,-86.1089,Hampton Inn Holland
294,Kothapet,IN,73.11,overcast clouds,19.3333,79.4833,Andhavelly Village
296,Vallenar,CL,78.82,clear sky,-28.5708,-70.7581,Humacao Bed & Breakfast
297,Mitsamiouli,KM,77.09,overcast clouds,-11.3847,43.2844,Foyer ADM
306,Hamilton,US,74.75,clear sky,39.1834,-84.5333,Six Acres Bed & Breakfast
309,Quatre Cocos,MU,75.09,light rain,-20.2078,57.7625,Sunrise Attitude Hotel
314,Shenzhen,CN,79.21,broken clouds,22.5455,114.0683,Shenzhen Shanghai Hotel
315,San Patricio,US,89.69,scattered clouds,28.017,-97.5169,"Motel 6 Sinton, TX"
317,Bathsheba,BB,83.01,scattered clouds,13.2167,-59.5167,Atlantis Hotel
318,Najran,SA,70.45,clear sky,17.4924,44.1277,محمد هادي ال فطيح
319,La Primavera,CO,82.29,moderate rain,5.4906,-70.4092,La Riviera Hotel Colonial
321,Ko Samui,TH,82.29,overcast clouds,9.5357,99.9357,The Passage
327,San Lorenzo,PY,83.34,few clouds,-25.3333,-57.5333,Hotel del Sur
328,Saint-Pierre,RE,73.04,few clouds,-21.3393,55.4781,Lindsey Hôtel
330,Port Blair,IN,80.35,overcast clouds,11.6667,92.75,"Welcomhotel By ITC Hotels, Bay Island, Port Blair"
333,Paducah,US,77.59,clear sky,37.0834,-88.6001,"Holiday Inn Paducah Riverfront, an IHG Hotel"
336,Talara,PE,75.96,clear sky,-4.5772,-81.2719,Hostal Oro Negro
337,Camacha,PT,71.53,few clouds,33.0833,-16.3333,Hotel Porto Santo & Spa
339,Laguna,US,70.45,overcast clouds,38.421,-121.4238,"Holiday Inn Express & Suites Elk Grove Central - Hwy 99, an IHG Hotel"
340,Salinas,US,72.57,overcast clouds,36.6777,-121.6555,Laurel Inn & Conference Center
346,Tecoanapa,MX,85.28,overcast clouds,16.5167,-98.75,Hotel Manglares
349,Salalah,OM,78.89,scattered clouds,17.0151,54.0924,"HAMDAN PLAZA HOTEL SALALAH, an HTG Hotel"
350,Caravelas,BR,72.1,overcast clouds,-17.7125,-39.2481,Pousada dos Navegantes
354,Maumere,ID,79.65,overcast clouds,-8.6199,122.2111,Sylvia Hotel
355,Nueva Gorgona,PA,87.91,overcast clouds,8.55,-79.8667,Coronado Luxury Club & Suites
356,Gat,IL,70.48,clear sky,31.61,34.7642,OlusHome
357,Ocos,GT,86.5,overcast clouds,14.5094,-92.1933,Auto Hotel El Soñador
359,Puerto Del Rosario,ES,73.15,few clouds,28.5004,-13.8627,Hotel JM Puerto del Rosario
