City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
79,Sorland,NO,67.667,12.6934,32.07,98,100,25.01,light snow
80,Kavieng,PG,-2.5744,150.7967,80.92,79,89,6.62,light rain
81,Plettenberg Bay,ZA,-34.0527,23.3716,64.35,73,44,2.98,scattered clouds
82,Ilulissat,GL,69.2167,-51.1,32.02,59,100,0.0,overcast clouds
83,Olafsvik,IS,64.8945,-23.7142,42.58,69,100,20.76,overcast clouds
84,Alice Springs,AU,-23.7,133.8833,69.35,49,0,5.75,clear sky
85,Catamarca,AR,-28.4696,-65.7852,86.77,32,0,8.99,clear sky
86,Victoria,HK,22.2855,114.1577,79.32,85,88,1.01,light rain
87,Puerto Ayora,EC,-0.7393,-90.3518,80.56,81,100,10.92,overcast clouds
88,Muros,ES,42.7762,-9.0603,63.23,90,60,9.98,broken clouds
89,Kendari,ID,-3.945,122.4989,75.2,94,85,3.09,overcast clouds
90,Smithers,CA,54.7804,-127.1743,41.32,87,90,4.61,overcast clouds
91,Antofagasta,CL,-23.65,-70.4,67.21,52,6,8.01,clear sky
92,Hobart,AU,-42.8794,147.3294,49.05,85,75,3.0,broken clouds
93,Henties Bay,NA,-22.116,14.2845,61.86,93,15,3.6,few clouds
94,Ribeira Grande,PT,38.5167,-28.7,68.4,73,20,5.75,few clouds
95,Boende,CD,-0.2167,20.8667,70.3,98,100,2.89,overcast clouds
96,Rumuruti,KE,0.267,36.5389,62.26,72,94,12.53,overcast clouds
97,Natitingou,BJ,10.3042,1.3796,75.49,82,100,3.09,light rain
98,Gobabis,NA,-22.45,18.9667,66.92,61,99,6.44,light rain
99,Sur,OM,22.5667,59.5289,79.43,72,51,14.54,broken clouds
100,Norman Wells,CA,65.282,-126.8329,33.37,74,98,4.79,overcast clouds
101,Flinders,AU,-34.5833,150.8552,60.08,93,43,7.09,scattered clouds
102,Hasaki,JP,35.7333,140.8333,48.6,56,100,14.81,overcast clouds
103,Cabo San Lucas,MX,22.8909,-109.9124,90.61,58,20,11.5,few clouds
104,Esfahan,IR,32.6572,51.6776,53.24,18,42,8.19,scattered clouds
105,Monrovia,LR,6.3005,-10.7969,78.57,83,61,9.95,light rain
106,Broken Hill,AU,-31.95,141.4333,65.41,29,38,13.76,scattered clouds
107,Mackay,AU,-21.15,149.2,72.05,83,20,8.77,few clouds
108,Zhoucheng,CN,35.9122,116.3117,54.01,88,100,4.43,overcast clouds
109,Manokwari,ID,-0.8667,134.0833,77.97,82,100,5.28,overcast clouds
110,High Prairie,CA,55.4334,-116.4858,52.38,39,4,10.67,clear sky
111,Port Hardy,CA,50.6996,-127.4199,51.35,89,96,7.16,light rain
112,Kodinsk,RU,58.6881,99.1844,33.96,91,35,4.27,scattered clouds
113,Hambantota,LK,6.1241,81.1185,78.98,83,99,9.19,overcast clouds
114,Karpathos,GR,35.507,27.2132,66.16,63,0,20.71,clear sky
115,Duobao,CN,30.67,112.6895,49.28,94,100,3.85,overcast clouds
116,Moron,AR,-34.6534,-58.6198,80.06,49,17,5.01,few clouds
